,Presicion,Recall,F1-score,data/sumen/sumen-01.txt,data/sumen/sumen-02.txt,data/sumen/sumen-03.txt,data/sumen/sumen-04.txt,data/sumen/sumen-05.txt,data/sumen/sumen-06.txt,data/sumen/sumen-07.txt,data/sumen/sumen-08.txt,data/sumen/sumen-10.txt,data/sumen/sumen-11.txt
1,0.27985547667342797,0.9399616776665957,0.43129976066038195,,0.11096346654272723,0.11065698853193746,0.1082501839011984,0.10839581952482133,0.11225244634293917,0.10816485592261181,0.11144518169038901,0.10790623506413007,0.1092443050131874
2,0.30959484924623115,0.912520249942143,0.4623321803365188,,0.1201137147611146,0.1220856269429434,0.11881108241019679,0.12035574594774542,,0.11899769153719257,0.11973380264418138,0.1195428081488201,0.12162166805427833
3,0.3387353350566713,0.9193200215866163,0.4950595757047371,,0.11731141935589007,,0.11566620890418704,0.11836838233940779,,0.11575322606016983,0.11747587442231434,0.12120533762126073,0.12090429472821532
4,0.3708100558659218,0.9089352961314618,0.5267334589822439,,0.125215641361503,,0.12363952858260216,0.12341478266807422,,0.1237479541719913,0.12555272850477864,,0.12459836402617677
5,0.3843950117964274,0.9131305044035228,0.541034155597723,,0.12810945241165833,,0.12596428505636942,0.12532171195705147,,0.12615152596780588,,,0.12714245444813543
6,0.38765432098765434,0.9105848235862736,0.5438014143455044,,,,0.1214478756285395,0.12140756574335303,,0.12181223492435374,,,0.12264987329923698
7,0.3979863784424045,0.9032258064516129,0.5525179856115107,,,,0.12328476930910148,0.12335837085676912,,0.12290357621697016,,,
8,0.40355086372360843,0.90625,0.5584329349269588,,,,0.12695207981872442,,,0.12656017147445595,,,
9,0.4051724137931034,0.9235807860262009,0.5632490013315579,,,,,,,0.12369703509574691,,,
Avr,0.36419496728727224,0.9152787961993809,0.5193844963885708,,0.12034273888657862,0.11637130773744044,0.12050200170136491,0.12008891129103176,0.11225244634293917,0.12086536348569979,0.11855189681541584,0.11621812694473697,0.1210268265948717
Max,0.4051724137931034,0.9399616776665957,0.5632490013315579,,0.12810945241165833,0.1220856269429434,0.12695207981872442,0.12532171195705147,0.11225244634293917,0.12656017147445595,0.12555272850477864,0.12120533762126073,0.12714245444813543
Slope,0.015308035730067207,-0.001914553653386721,0.015801400027213856,,0.003939389833825061,0.011428638411005942,0.0020589459829051223,0.0019265936858822237,nan,0.0016196856261715604,0.004006471222130184,0.006649551278565333,0.00249383628313659
AllTextCount,,,,3281.0,1735.0,2578.0,1915.0,2267.0,1645.0,1921.0,1725.0,3127.0,2379.0
AllSegCount,,,,648.0,352.0,505.0,381.0,464.0,296.0,366.0,343.0,632.0,472.0
,,,,5.063271604938271,4.9289772727272725,5.104950495049505,5.026246719160105,4.885775862068965,5.5574324324324325,5.248633879781421,5.029154518950437,4.947784810126582,5.040254237288136
