Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.8057375197650779,0.2939673644305258,0.4307710887023731,
Un-score,1,1,,,,0.15137172089490877
Un-score,1,2,,,,0.15163711718145786
Un-score,1,3,,,,0.1583476552954841
Un-score,1,4,,,,0.1502053199844785
Un-score,1,5,,,,0.15235275616438718
Un-score,1,6,,,,0.15262293694799545
Un-score,1,7,,,,0.15300154820296022
Un-score,1,8,,,,0.15498557455121745
Un-score,1,9,,,,0.15202044965382427
Un-score,1,10,,,,0.15394016098604285
test-score,2,,0.7859410430839002,0.2988961710934805,0.4330875921529426,
Un-score,2,1,,,,0.15005535835803335
Un-score,2,2,,,,0.15033717291213128
Un-score,2,4,,,,0.14802098165059735
Un-score,2,5,,,,0.1512518464706643
Un-score,2,6,,,,0.15152856129246683
Un-score,2,7,,,,0.15228127604478914
Un-score,2,8,,,,0.15453060847278832
Un-score,2,9,,,,0.1509973648090005
Un-score,2,10,,,,0.15325774472693496
test-score,3,,0.773995915588836,0.31170611349721283,0.4444299674267101,
Un-score,3,1,,,,0.15197677219960734
Un-score,3,2,,,,0.15245363757424593
Un-score,3,4,,,,0.15000791419027584
Un-score,3,5,,,,0.15348703749074058
Un-score,3,6,,,,0.15380815703943573
Un-score,3,7,,,,0.15448646134441196
Un-score,3,9,,,,0.15304684210028238
Un-score,3,10,,,,0.1556137262655891
test-score,4,,0.8065943792874529,0.3515964116909424,0.48972188633615477,
Un-score,4,1,,,,0.12386410710548491
Un-score,4,2,,,,0.12202024179397648
Un-score,4,4,,,,0.12354737671162361
Un-score,4,5,,,,0.1227091236516151
Un-score,4,6,,,,0.12486302741764825
Un-score,4,7,,,,0.12359490254281535
Un-score,4,9,,,,0.12434049234611036
test-score,5,,0.7979286536248562,0.3743656192635784,0.5096281052476848,
Un-score,5,1,,,,0.12646644851415295
Un-score,5,2,,,,0.12298647942272506
Un-score,5,4,,,,0.12425028360843995
Un-score,5,5,,,,0.12388487753416921
Un-score,5,7,,,,0.12521956876165505
Un-score,5,9,,,,0.12661416078711682
test-score,6,,0.7603823335530653,0.3241989881956155,0.4545812807881773,
Un-score,6,1,,,,0.1253099718282219
Un-score,6,2,,,,0.12533978987404573
Un-score,6,4,,,,0.1243251440645894
Un-score,6,5,,,,0.12509068378312713
Un-score,6,7,,,,0.12498829530127652
test-score,7,,0.7693510555121188,0.3320398177830268,0.463877430760165,
Un-score,7,1,,,,0.1253839735035763
Un-score,7,4,,,,0.12439250833300866
Un-score,7,5,,,,0.12476772439289967
Un-score,7,7,,,,0.12475880807867368
test-score,8,,0.7566619915848527,0.2944868995633188,0.4239685658153242,
Un-score,8,4,,,,0.12367481971803515
Un-score,8,5,,,,0.12401282944115426
Un-score,8,7,,,,0.12408812795537272
test-score,9,,0.6941813261163735,0.2867523756288429,0.40585443037974683,
Un-score,9,4,,,,0.12392450862321674
Un-score,9,5,,,,0.12759976806862625
test-score,10,,0.6607142857142857,0.24732620320855614,0.3599221789883268,
Un-score,10,4,,,,0.12751375890564856
