,Presicion,Recall,F1-score,data/sumen/sumen-01.txt,data/sumen/sumen-02.txt,data/sumen/sumen-03.txt,data/sumen/sumen-04.txt,data/sumen/sumen-05.txt,data/sumen/sumen-06.txt,data/sumen/sumen-07.txt,data/sumen/sumen-08.txt,data/sumen/sumen-10.txt,data/sumen/sumen-11.txt
1,0.7711355677838919,0.5651695692025664,0.6522796995662752,0.12821551837467457,0.1276179274709175,0.1292440411910088,0.1278294270749131,0.1280826036115207,0.12719615741212043,0.12769897271131506,0.127654503463163,0.12864526550914238,0.12937186778091056
2,0.7733408323959505,0.5642183011899877,0.6524317912218268,0.12748522936197756,0.12771695658236773,0.1279906525347858,0.12802794247805352,0.12767860125899738,0.127264142352832,0.12795782031219033,0.12776858421925844,0.12740123217160274,
3,0.7710077000334784,0.5632183908045977,0.6509327303561334,0.127739260971015,0.128278330154933,0.12779582122221098,0.12842233987891147,0.12758674986517554,0.12799132275468703,0.12851871976255688,0.1283917941058319,,
4,0.7712886209495102,0.5583742498636116,0.6477848101265823,0.1267523991940878,0.1265037728308162,0.12672147659317487,0.1263715211006877,0.12587732489321268,0.1268807079383534,0.12634823267006148,,,
5,0.7678260869565218,0.550498753117207,0.6412490922294843,0.12578785763618508,0.12746846439519835,0.1270292524005155,0.1286702132318906,0.12714695566692638,0.12841041408121256,,,,
6,0.7668497254118821,0.5423728813559322,0.6353671147880041,0.12381783371748036,0.12343816059660023,0.12418051208628267,0.12354313413493057,0.12322276401952918,,,,,
7,0.7689912826899128,0.5435739436619719,0.6369262506446622,0.1248735121176929,0.12297168745648172,0.12437588087393668,0.1238666900599769,,,,,,
8,0.7594339622641509,0.5360710321864595,0.6284970722186076,0.123407082537861,0.12338802945940433,0.12370899709403523,,,,,,,
9,0.7649880095923262,0.5374894692502106,0.6313706086095991,0.12561214394709375,0.12342872698142845,,,,,,,,
10,0.7390476190476191,0.5118733509234829,0.6048324240062354,0.1238496913710328,,,,,,,,,
Avr,0.7653909407125243,0.5472859941556029,0.6381671593767411,0.12575405292291006,0.12564578399201637,0.12638082924949381,0.12667589542276625,0.1265991665525603,0.1275485489078411,0.12763093636403094,0.12793829392941777,0.12802324884037256,0.12937186778091056
Max,0.7733408323959505,0.5651695692025664,0.6524317912218268,0.12821551837467457,0.128278330154933,0.1292440411910088,0.1286702132318906,0.1280826036115207,0.12841041408121256,0.12851871976255688,0.1283917941058319,0.12864526550914238,0.12937186778091056
Slope,-0.002503020384375125,-0.00518200831240653,-0.004394483060004978,-0.0004949795045492251,-0.0007237080159660814,-0.0008018728402798207,-0.0007360697992169776,-0.0007886731345181004,0.00020450789237056735,-0.0003491320673394166,0.0003686453213344459,-0.0012440333375396406,nan
AllTextCount,,,,3281.0,1735.0,2578.0,1915.0,2267.0,1645.0,1921.0,1725.0,3127.0,2379.0
AllSegCount,,,,648.0,352.0,505.0,381.0,464.0,296.0,366.0,343.0,632.0,472.0
,,,,5.063271604938271,4.9289772727272725,5.104950495049505,5.026246719160105,4.885775862068965,5.5574324324324325,5.248633879781421,5.029154518950437,4.947784810126582,5.040254237288136
