,Presicion,Recall,F1-score,data/ws2\ws-001.txt,data/ws2\ws-002.txt,data/ws2\ws-004.txt,data/ws2\ws-005.txt,data/ws2\ws-006.txt,data/ws2\ws-007.txt,data/ws2\ws-008.txt,data/ws2\ws-009.txt,data/ws2\ws-010.txt,data/ws2\ws-011.txt,data/ws2\ws-012.txt
1,0.7567567567567568,0.2014388489208633,0.3181818181818182,,0.2212031265292973,0.22415142056671178,0.22008499759272931,0.22079345176725557,0.2253876566925581,0.2196987860487855,0.22070632919794672,0.22005462399477044,0.21936096436598085,0.2199221119574643
2,0.7027027027027027,0.18705035971223022,0.2954545454545454,,0.20367434751219768,0.2071312759832134,0.20383166416319365,0.20416337014656055,,0.20393537466616735,0.20315226998570163,0.20276783952007185,0.20354560685090042,0.2038532513762592
3,0.8333333333333334,0.17985611510791366,0.29585798816568054,,0.22803657214052042,,0.22733403109315373,0.22694237485343757,,0.22645355856855925,0.2274688604488413,0.2269403548499535,0.22641587189229376,0.22655003573193083
4,0.8958333333333334,0.21182266009852216,0.3426294820717132,,,,0.20374679069634605,0.20401904901586418,,0.2034588311576163,0.2037677549130578,0.20337400760326055,0.20332689556335523,0.20325938949924208
5,0.8958333333333334,0.21182266009852216,0.3426294820717132,,,,0.19476360778104895,,,0.19495274698827417,0.19458029149088976,0.19416980589447363,0.19455940568798474,0.19439547034511317
6,0.8775510204081632,0.21182266009852216,0.3412698412698412,,,,0.23160447164003609,,,,0.23130998970373623,0.2307663150879636,0.23107713266625068,0.23117108310262505
7,0.9574468085106383,0.24324324324324326,0.3879310344827586,,,,,,,,0.18586115879662307,0.18558796069482372,0.18630422152060253,0.18609962235427133
8,0.9,0.24324324324324326,0.3829787234042553,,,,,,,,0.19501953639278344,0.19459272727757726,,0.19519598366031501
9,0.9,0.24324324324324326,0.3829787234042553,,,,,,,,0.2064059275983038,0.20665076574212785,,
10,0.9574468085106383,0.24324324324324326,0.3879310344827586,,,,,,,,0.19516827057244057,,,
Avr,0.8676904096888901,0.21767862770095467,0.3477842672989339,,0.21763801539400515,0.2156413482749626,0.21356092716108463,0.21397956144577948,0.2253876566925581,0.20969985948588055,0.20634403891003245,0.2072116000738914,0.2092271569353383,0.2075558685034026
Max,0.9574468085106383,0.24324324324324326,0.3879310344827586,,0.22803657214052042,0.22415142056671178,0.23160447164003609,0.22694237485343757,0.2253876566925581,0.22645355856855925,0.23130998970373623,0.2307663150879636,0.23107713266625068,0.23117108310262505
Slope,0.022346563592764202,0.007156285598359527,0.010973096272609527,,0.0034167228056115606,-0.017020144583498376,0.00019445601980834542,-0.002754420354729714,nan,-0.0049968621629573745,-0.0023412341500490125,-0.0022242208427268443,-0.0027129872539194094,-0.003057759764667032
AllTextCount,,,,1582.0,823.0,1347.0,989.0,1193.0,1541.0,1150.0,831.0,923.0,1100.0,1079.0
AllSegCount,,,,297.0,138.0,242.0,184.0,192.0,262.0,186.0,140.0,152.0,119.0,147.0
,,,,5.326599326599327,5.963768115942029,5.566115702479339,5.375,6.213541666666667,5.8816793893129775,6.182795698924731,5.935714285714286,6.072368421052632,9.243697478991596,7.340136054421769
