,Presicion,Recall,F1-score,data/ws/ws-001.txt,data/ws/ws-002.txt,data/ws/ws-004.txt,data/ws/ws-005.txt,data/ws/ws-006.txt,data/ws/ws-007.txt,data/ws/ws-008.txt,data/ws/ws-009.txt,data/ws/ws-010.txt,data/ws/ws-011.txt,data/ws/ws-012.txt
1,0.8385845855550169,0.2851491676281523,0.42558425584255843,,0.12765271897793934,0.12777042368812183,0.13652156803991972,0.12656208797632218,0.12859046629876,0.12912364927856718,0.12906957131170416,0.1331565201512359,0.1284258664799376,0.13177224517613126
2,0.8276370789279567,0.290272507761297,0.4298027197854817,,0.12568726542223868,0.1259295221575495,,0.12282080860272851,0.12700470998337046,0.12742483485851916,0.12777782310829947,0.13213035758073643,0.12677960612162018,0.130280683239556
3,0.8094538329659564,0.3020195558804715,0.43990416611207245,,0.12925795992012853,0.1296277177751222,,0.1259278475417059,0.13059677050709914,0.13077960843582562,0.13190477938963263,,0.13041928011421872,0.13413315753983793
4,0.8450966689960401,0.34995659303559373,0.49495225102319235,,0.08617544265167225,0.0755007966141425,,0.07607778318301649,0.07555033231369304,0.07677053429010813,0.0807100700757041,,0.08546183598900602,
5,0.8339150668993601,0.35377591312931883,0.4967943164096343,,,0.07602809437546901,,0.0766694610925059,0.0761679773119275,0.07731561414321907,0.08084304360512631,,0.08500230124394996,
6,0.7794452023647113,0.2876321530458131,0.4202010296641334,,,0.09741986353987395,,0.09632248102126365,0.09684241728835218,0.09586929954689452,0.09725050353221593,,,
7,0.7807389460932768,0.27023060796645704,0.4014950942220838,,,,,0.09661737966616482,0.0969236574905978,0.09611229130791557,0.09724953539233336,,,
8,0.7479406919275123,0.3136442141623489,0.4419566804575323,,,,,0.11036456460802452,0.10938286218239081,0.11038707672829241,,,,
9,0.6911764705882353,0.2889882615986585,0.4075679936933386,,,,,0.1129421878651502,0.11560705787340148,,,,,
10,0.6712328767123288,0.2620320855614973,0.37692307692307697,,,,,0.10924890541244728,,,,,,
Avr,0.7825221421030395,0.30037010597696084,0.43351815841331043,,0.11719334674299471,0.1053794030250465,0.13652156803991972,0.10535535069693294,0.10629625013884361,0.1054728635736677,0.10640076091643084,0.13264343886598617,0.1112177779897465,0.13206202865184172
Max,0.8450966689960401,0.35377591312931883,0.4967943164096343,,0.12925795992012853,0.1296277177751222,0.13652156803991972,0.12656208797632218,0.13059677050709914,0.13077960843582562,0.13190477938963263,0.1331565201512359,0.13041928011421872,0.13413315753983793
Slope,-0.01828180834180244,-0.0028135871855751106,-0.005698762899041587,,-0.012086113448091141,-0.010159543007098874,nan,-0.0013425066274431908,-0.002514221969378611,-0.004665530624031234,-0.007413445810528063,-0.0010261625704994781,-0.012816490060458941,0.0011804561818533343
AllTextCount,,,,21005.0,12951.0,6588.0,2664.0,4105.0,6071.0,5036.0,8378.0,2959.0,11802.0,3119.0
AllSegCount,,,,4078.0,2246.0,1180.0,462.0,674.0,1029.0,880.0,1440.0,498.0,1443.0,470.0
,,,,5.150809220205983,5.766251113089938,5.583050847457627,5.766233766233766,6.0905044510385755,5.899902818270165,5.722727272727273,5.8180555555555555,5.9417670682730925,8.17879417879418,6.636170212765958
