,Presicion,Recall,F1-score,data/ws/ws-001.txt,data/ws/ws-002.txt,data/ws/ws-004.txt,data/ws/ws-005.txt,data/ws/ws-006.txt,data/ws/ws-007.txt,data/ws/ws-008.txt,data/ws/ws-009.txt,data/ws/ws-010.txt,data/ws/ws-011.txt,data/ws/ws-012.txt
1,0.6083696837513631,0.3678094610186253,0.4584488957370313,,0.17251576454823822,0.17643008066895308,0.1785503547615421,0.17812597417866793,0.1770749843429981,0.1768546309285826,0.17523438567653868,0.17727895932881838,0.17280784239120706,0.17728439362752527
2,0.6582077716098335,0.3363387701347381,0.44518940663761314,,,0.14322929297913137,0.1451485932951776,0.1452122332443957,0.1439558702499675,0.14373518858654374,0.14232915057908058,0.14416168988021674,0.14032620759263964,0.14413035046130862
3,0.6684401451027812,0.3183598249251325,0.4313021767964422,,,,0.14834404059687312,0.148164664320948,0.14703682952595495,0.1468615764294868,0.14517602032135485,0.14723258684978946,0.14330915955899393,0.14721968964912102
4,0.7063607924921793,0.41588899803536344,0.5235335033619289,,,,,0.15345264057308194,0.15236973079287902,0.15197565612085492,0.15038812146548058,0.15242426491604968,0.14847269685102563,0.15259234506896796
5,0.6957427117075428,0.40657111952406705,0.5132275132275131,,,,,,0.15348240917487035,0.15272213244215574,0.1528037293326124,0.15341747510161627,0.15232967516874302,0.153719065537381
6,0.6639271434917814,0.47033831628638867,0.5506125080593165,,,,,,,0.14940149178311818,0.14860373526750376,0.1501146903846976,0.1479394022679364,0.15037278413905952
7,0.7485541173230515,0.5178129167460469,0.6121621621621622,,,,,,,,0.13041841904020887,0.13378567796409732,0.12811491630227875,0.13404238725506265
8,0.6933962264150944,0.5663900414937759,0.6234910277324633,,,,,,,,,0.1448949767657982,0.13784873566574005,0.14503767064906004
9,0.665439672801636,0.5979419331128262,0.6298877274487031,,,,,,,,,,0.13158104041663954,0.13983442259353648
10,0.7647058823529411,0.5190972222222222,0.6184074457083764,,,,,,,,,,,0.13327125478621804
Avr,0.6873144147048204,0.4516548603499186,0.540626236687155,,0.17251576454823822,0.15982968682404222,0.15734766288453095,0.1562388780792734,0.15478396481733397,0.15359177938179033,0.14927908024039713,0.15041379014888545,0.14474774180168934,0.14775043637672403
Max,0.7647058823529411,0.5979419331128262,0.6298877274487031,,0.17251576454823822,0.17643008066895308,0.1785503547615421,0.17812597417866793,0.1770749843429981,0.1768546309285826,0.17523438567653868,0.17727895932881838,0.17280784239120706,0.17728439362752527
Slope,0.010164811567243885,0.029106072893433806,0.024222608614135423,,nan,-0.03320078768982171,-0.015103157082334492,-0.007106756974020567,-0.003877128979334396,-0.0030054509848319445,-0.004081107911460196,-0.003201528770612467,-0.0033876900795914737,-0.0030066423908273483
AllTextCount,,,,21005.0,12951.0,6588.0,2664.0,4105.0,6071.0,5036.0,8378.0,2959.0,11802.0,3119.0
AllSegCount,,,,4078.0,2246.0,1180.0,462.0,674.0,1029.0,880.0,1440.0,498.0,1443.0,470.0
,,,,5.150809220205983,5.766251113089938,5.583050847457627,5.766233766233766,6.0905044510385755,5.899902818270165,5.722727272727273,5.8180555555555555,5.9417670682730925,8.17879417879418,6.636170212765958
