,Presicion,Recall,F1-score,data/sumen/sumen-01.txt,data/sumen/sumen-02.txt,data/sumen/sumen-03.txt,data/sumen/sumen-04.txt,data/sumen/sumen-05.txt,data/sumen/sumen-06.txt,data/sumen/sumen-07.txt,data/sumen/sumen-08.txt,data/sumen/sumen-10.txt,data/sumen/sumen-11.txt
1,0.9557109557109557,0.5237385565254418,0.676660706917893,,0.13727698224189966,0.13783837197991253,0.13756401252746855,0.13731490158335719,0.13752343748205223,0.13763631668261733,0.13732495709649878,0.1374723556445544,0.13779426848262208
2,0.9312786339025406,0.5477707006369427,0.6898041030387166,,0.12416901324320878,,0.12434196995471208,0.12427686324572472,0.12425137044011034,0.12439779716749279,0.12420263035141031,0.124075666422596,0.12483813127311988
3,0.917096018735363,0.5592687803484718,0.6948190205819729,,0.11228023526560899,,0.1127425331321391,0.11324778173068374,0.11191563546971608,0.1129630895483503,0.11240001609600768,0.11298556947694029,
4,0.9104,0.5804148248894934,0.7088870431893687,,0.10698587260412044,,0.10765678960030915,,0.10664108553273392,0.10790517999396526,0.10705802002938987,0.10859432833017192,
5,0.8887390424814565,0.6113172541743971,0.7243748282495192,,0.11045027506325263,,0.11033517631037021,,0.10958559143193677,0.11038096677958904,0.11058541004669598,,
6,0.8872549019607843,0.6266589728793999,0.7345282380791343,,0.10752430403920785,,0.1079363590184505,,0.10717457849283386,0.10786356333782299,,,
7,0.8766375545851528,0.6357878068091845,0.7370353373106929,,0.1113600106852237,,,,0.11110670299623461,0.11165396949137926,,,
8,0.9128856624319419,0.6248447204968944,0.7418879056047196,,0.10056414744640405,,,,0.10003679762319515,,,,
9,0.897887323943662,0.6781914893617021,0.7727272727272727,,,,,,0.10010013843217805,,,,
Avr,0.9086544548613174,0.5986659006802142,0.7200804950776989,,0.11382635507361577,0.13783837197991253,0.1167628067572416,0.12494651551992188,0.11203725976677677,0.11611441185731672,0.11831420672400053,0.12078197996856564,0.13131619987787096
Max,0.9557109557109557,0.6781914893617021,0.7727272727272727,,0.13727698224189966,0.13783837197991253,0.13756401252746855,0.13731490158335719,0.13752343748205223,0.13763631668261733,0.13732495709649878,0.1374723556445544,0.13779426848262208
Slope,-0.00650892446367678,0.017471933197270476,0.010843191654712222,,-0.003950455328315071,nan,-0.005578411200284166,-0.01203355992633672,-0.0037236881106184217,-0.004057058285779109,-0.007062370442162605,-0.009772417888880315,-0.0129561372095022
AllTextCount,,,,3281.0,1735.0,2578.0,1915.0,2267.0,1645.0,1921.0,1725.0,3127.0,2379.0
AllSegCount,,,,648.0,352.0,505.0,381.0,464.0,296.0,366.0,343.0,632.0,472.0
,,,,5.063271604938271,4.9289772727272725,5.104950495049505,5.026246719160105,4.885775862068965,5.5574324324324325,5.248633879781421,5.029154518950437,4.947784810126582,5.040254237288136
