Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.8385845855550169,0.2851491676281523,0.42558425584255843,
Un-score,1,1,,,,0.12765271897793934
Un-score,1,2,,,,0.12777042368812183
Un-score,1,3,,,,0.13652156803991972
Un-score,1,4,,,,0.12656208797632218
Un-score,1,5,,,,0.12859046629876
Un-score,1,6,,,,0.12912364927856718
Un-score,1,7,,,,0.12906957131170416
Un-score,1,8,,,,0.1331565201512359
Un-score,1,9,,,,0.1284258664799376
Un-score,1,10,,,,0.13177224517613126
test-score,2,,0.8264340626848019,0.2831526694357208,0.4217912925375387,
Un-score,2,2,,,,0.11762475741245551
Un-score,2,3,,,,0.1268039986961089
Un-score,2,4,,,,0.1149249799213964
Un-score,2,5,,,,0.11809112116049743
Un-score,2,6,,,,0.11822972580563594
Un-score,2,7,,,,0.11902027327884619
Un-score,2,8,,,,0.12254601661419867
Un-score,2,9,,,,0.11794085757795304
Un-score,2,10,,,,0.12083258268047224
test-score,3,,0.8204514363885089,0.2763188205482608,0.4134068585214545,
Un-score,3,3,,,,0.12475942428417114
Un-score,3,4,,,,0.11226959904424126
Un-score,3,5,,,,0.11549567652845887
Un-score,3,6,,,,0.11571704561474187
Un-score,3,7,,,,0.11657422372034859
Un-score,3,8,,,,0.1204399585644626
Un-score,3,9,,,,0.1153715552157291
Un-score,3,10,,,,0.11855283120494964
test-score,4,,0.7982677733670155,0.27161100196463656,0.4053137883646358,
Un-score,4,4,,,,0.11341676720672851
Un-score,4,5,,,,0.11753376808460411
Un-score,4,6,,,,0.11756829177144239
Un-score,4,7,,,,0.11877877827020328
Un-score,4,8,,,,0.12263574753589492
Un-score,4,9,,,,0.1174319274738522
Un-score,4,10,,,,0.12061785088414943
test-score,5,,0.8105590062111802,0.28231476473769607,0.4187725631768953,
Un-score,5,5,,,,0.1156440644364994
Un-score,5,6,,,,0.11567824620678019
Un-score,5,7,,,,0.11664082528775803
Un-score,5,8,,,,0.11986041526719293
Un-score,5,9,,,,0.11558759045987707
Un-score,5,10,,,,0.11810245036434626
test-score,6,,0.8289597000937207,0.2783634933123525,0.4167746495464719,
Un-score,6,6,,,,0.1144616758321481
Un-score,6,7,,,,0.11588899332018644
Un-score,6,8,,,,0.11935323150371463
Un-score,6,9,,,,0.11443962826640706
Un-score,6,10,,,,0.11741606213589602
test-score,7,,0.8323936442849821,0.30939226519337015,0.45111111111111113,
Un-score,7,7,,,,0.12222309758170644
Un-score,7,8,,,,0.12607373064807856
Un-score,7,9,,,,0.12070693278277911
Un-score,7,10,,,,0.12395279123884424
test-score,8,,0.7995937711577522,0.3500296384113811,0.48690991548134405,
Un-score,8,8,,,,0.1295314942157524
Un-score,8,9,,,,0.12379969579712262
Un-score,8,10,,,,0.12719406889321966
test-score,9,,0.7984375,0.37559720690922455,0.5108722819295176,
Un-score,9,9,,,,0.1251420665690288
Un-score,9,10,,,,0.1284010160564206
test-score,10,,0,0,0,
Un-score,10,10,,,,0.08158515077024248
