,Presicion,Recall,F1-score,data/ws/ws-001.txt,data/ws/ws-002.txt,data/ws/ws-004.txt,data/ws/ws-005.txt,data/ws/ws-006.txt,data/ws/ws-007.txt,data/ws/ws-008.txt,data/ws/ws-009.txt,data/ws/ws-010.txt,data/ws/ws-011.txt,data/ws/ws-012.txt
1,0.2541630148992112,0.8364925004120652,0.38986729147861493,,0.13154823947856817,0.1305448780205278,0.13257136932841943,0.13397283570581037,0.1315010235116733,0.13383633373422077,0.13001942267437647,0.13335384063782038,0.13213483648891042,0.1331259683033356
2,0.27780342906393324,0.79264008431407,0.4114147653454288,,0.14768865207718326,0.14701578988462474,0.15152643556118345,,0.1494286474197954,0.15301791691221608,0.14838965654748398,0.15235582525938746,0.14963801078273806,0.15177126934266028
3,0.31160757259746513,0.7557392996108949,0.44127002158355105,,0.16631399917337528,0.16587308164740244,0.17441825248831325,,0.16824514394582984,,0.1689347293045453,0.17320621368246242,0.16822835616444864,0.17288638128824693
4,0.31201467702022356,0.7506672141244097,0.44080771549125985,,0.166338094860011,0.16584278781445697,,,0.16855570320231508,,0.16830514342441147,0.1725573903069122,0.1684066369810836,0.17252039640612965
5,0.33296303777014746,0.7254923533942128,0.45644273699511995,,0.17133441382030046,0.17154838600163616,,,0.17424154527528227,,0.17469668921828221,,0.17348364957947313,0.17959615607402632
6,0.3826710339286818,0.7273581581111241,0.5014983396776544,,0.1020115371442598,0.04664464623694357,,,0.04586636477494807,,0.06967060541455702,,0.0959932268897185,
7,0.374793661274348,0.72656,0.4945007078296853,,,0.04950237949268342,,,0.04895930927402077,,0.07402829569288467,,0.09953648186361,
8,0.3980766428675506,0.6655298416565164,0.49817651349380004,,,0.15927338856875872,,,0.1585490072338611,,0.16010177349878763,,,
9,0.40871780356637416,0.6475336322869956,0.5011278847822315,,,0.13919702161854497,,,0.13403949320990302,,,,,
10,0.38829487900956666,0.6628242074927954,0.4897090134847409,,,,,,0.13215249037574453,,,,,
Avr,0.34411057519975013,0.7290837291403084,0.4624814990162087,,0.147539156092283,0.1306047065872865,0.1528386857926387,0.13397283570581037,0.13115387282233731,0.14342712532321844,0.1367682894719161,0.1578683174716456,0.14106017124999745,0.16198003428287977
Max,0.40871780356637416,0.8364925004120652,0.5014983396776544,,0.17133441382030046,0.17154838600163616,0.17441825248831325,0.13397283570581037,0.17424154527528227,0.15301791691221608,0.17469668921828221,0.17320621368246242,0.17348364957947313,0.17959615607402632
Slope,0.01693319817443406,-0.018789472290249458,0.012225662868859443,,-0.00219206087873013,-0.004675969590708014,0.02092344157994691,nan,-0.003863672263864646,0.019181583177995315,-0.005388466361645387,0.01384610374303504,-0.007136762080246996,0.011368950260485084
AllTextCount,,,,21005.0,12951.0,6588.0,2664.0,4105.0,6071.0,5036.0,8378.0,2959.0,11802.0,3119.0
AllSegCount,,,,4078.0,2246.0,1180.0,462.0,674.0,1029.0,880.0,1440.0,498.0,1443.0,470.0
,,,,5.150809220205983,5.766251113089938,5.583050847457627,5.766233766233766,6.0905044510385755,5.899902818270165,5.722727272727273,5.8180555555555555,5.9417670682730925,8.17879417879418,6.636170212765958
