,Presicion,Recall,F1-score,data/ws2\ws-001.txt,data/ws2\ws-002.txt,data/ws2\ws-004.txt,data/ws2\ws-005.txt,data/ws2\ws-006.txt,data/ws2\ws-007.txt,data/ws2\ws-008.txt,data/ws2\ws-009.txt,data/ws2\ws-010.txt,data/ws2\ws-011.txt,data/ws2\ws-012.txt
1,0.75,0.2158273381294964,0.33519553072625696,,0.21728429918880163,0.22065728576473598,0.21613316875256228,0.21707795370504424,0.22198087674197556,0.2159888469784156,0.21677488045571944,0.2160511439664134,0.2155678599124605,0.21606505595223566
2,0.6355140186915887,0.27419354838709675,0.38309859154929576,,,0.17508558412348685,0.16915980954743975,0.17182369099278863,0.176558226230932,0.17107627948989038,0.16968656862972734,0.16888292871601274,0.1702425069700588,0.16993236759948555
3,0.7627118644067796,0.22167487684729065,0.34351145038167935,,,,0.23596372340096744,0.2362571180753616,0.2395393271567294,0.235631332533515,0.23645829684610975,0.2360202547804506,0.23526395180685955,0.23558896251775469
4,0.8620689655172413,0.11737089201877934,0.20661157024793386,,,,,0.22678498253624416,0.2305754617144856,0.2260407288570929,0.22659764675116426,0.2262630091393861,0.225576300135475,0.22566859915367465
5,0.6388888888888888,0.08646616541353383,0.152317880794702,,,,,,0.20190866109806294,0.19655779189328945,0.19672904971641825,0.19603731759918705,0.19584249251627955,0.19570809010864237
6,0.9696969696969697,0.14953271028037382,0.2591093117408907,,,,,,,0.20744002408348025,0.20736392352071048,0.2067714317778442,0.20726336739491671,0.20717646990470293
7,0.9574468085106383,0.24324324324324326,0.3879310344827586,,,,,,,,0.20165159600247795,0.20130727133819104,0.2017442924236159,0.20164294945444236
8,0.9807692307692307,0.2512315270935961,0.39999999999999997,,,,,,,,,0.19054054787025795,0.19108962782753885,0.19097265717972664
9,1.0,0.3894736842105263,0.5606060606060607,,,,,,,,,,0.21488410214120945,0.21497517577197706
10,0.9473684210526315,0.19672131147540983,0.32579185520361986,,,,,,,,,,,0.19268322279445366
Avr,0.8504465167533969,0.21457352970993462,0.33541732857331974,,0.21728429918880163,0.1978714349441114,0.20708556723365648,0.21298593632735965,0.2141125105884371,0.20878916730594724,0.20789456598890396,0.20523423814846786,0.2063860556809349,0.20504135504370952
Max,1.0,0.3894736842105263,0.5606060606060607,,0.21728429918880163,0.22065728576473598,0.23596372340096744,0.2362571180753616,0.2395393271567294,0.235631332533515,0.23645829684610975,0.2360202547804506,0.23526395180685955,0.23558896251775469
Slope,0.036575430910503574,0.0074149912766605245,0.012673404699611436,,nan,-0.04557170164124913,0.009915277324202582,0.009355451357617273,0.001387280419572834,0.0006888519731170947,-0.0003480139538374883,-0.0016002930965501763,-0.0004257653336601594,-0.0010837996194204484
AllTextCount,,,,1582.0,823.0,1347.0,989.0,1193.0,1541.0,1150.0,831.0,923.0,1100.0,1079.0
AllSegCount,,,,297.0,138.0,242.0,184.0,192.0,262.0,186.0,140.0,152.0,119.0,147.0
,,,,5.326599326599327,5.963768115942029,5.566115702479339,5.375,6.213541666666667,5.8816793893129775,6.182795698924731,5.935714285714286,6.072368421052632,9.243697478991596,7.340136054421769
