Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.9864649681528662,0.2637853949329359,0.41626070888627575,
Un-score,1,1,,,,0.12620530899413032
Un-score,1,2,,,,0.12538869372483638
Un-score,1,3,,,,0.12668410313402167
Un-score,1,4,,,,0.12612566536948902
Un-score,1,5,,,,0.12546250497164052
Un-score,1,6,,,,0.12671880050689532
Un-score,1,7,,,,0.12597809422824172
Un-score,1,8,,,,0.12634572212858897
Un-score,1,9,,,,0.1258331935568227
test-score,2,,0.9668508287292817,0.28898325076669024,0.4449691245913549,
Un-score,2,1,,,,0.12391607266833397
Un-score,2,2,,,,0.12347530543227855
Un-score,2,3,,,,0.1250589995186069
Un-score,2,4,,,,0.12443779372854137
Un-score,2,5,,,,0.12334813240479511
Un-score,2,7,,,,0.12372483863466019
Un-score,2,8,,,,0.12394142962406977
Un-score,2,9,,,,0.12414714247145632
test-score,3,,0.9468170829975826,0.3117537808437251,0.46906187624750495,
Un-score,3,1,,,,0.12462132963399306
Un-score,3,2,,,,0.12371174260740611
Un-score,3,4,,,,0.12472570592303676
Un-score,3,5,,,,0.12437607895180894
Un-score,3,7,,,,0.12445696295069511
Un-score,3,8,,,,0.12457618464618124
Un-score,3,9,,,,0.12451929066736799
test-score,4,,0.9029911075181891,0.3480835151137426,0.5024741340530813,
Un-score,4,1,,,,0.12507491472792015
Un-score,4,2,,,,0.12515502878543283
Un-score,4,5,,,,0.12483015593733193
Un-score,4,7,,,,0.1248994048648817
Un-score,4,8,,,,0.1264413993226598
Un-score,4,9,,,,0.12593325800333605
test-score,5,,0.9043560606060606,0.39397689768976896,0.5488505747126436,
Un-score,5,1,,,,0.12454504622836311
Un-score,5,2,,,,0.12502696883581177
Un-score,5,5,,,,0.12471183141372667
Un-score,5,7,,,,0.12457299133376393
Un-score,5,9,,,,0.12588329888625585
test-score,6,,0.8988372093023256,0.41942485078676073,0.5719570847206807,
Un-score,6,1,,,,0.12609461064594865
Un-score,6,2,,,,0.1284051859317548
Un-score,6,5,,,,0.12594862490318906
Un-score,6,7,,,,0.12599992017456493
test-score,7,,0.8964346349745331,0.42996742671009774,0.5811777655476059,
Un-score,7,1,,,,0.12332573035482783
Un-score,7,5,,,,0.12361487414121188
Un-score,7,7,,,,0.12329768294684695
test-score,8,,0.9114219114219114,0.45892018779342725,0.6104605776736924,
Un-score,8,1,,,,0.12163487779981831
Un-score,8,7,,,,0.12160986541394812
test-score,9,,0.8938053097345132,0.47754137115839246,0.6224961479198768,
Un-score,9,7,,,,0.1208523001385958
